design_object_count,layout_count,composition
101,21,"Group:[types=['Group', 'Text'], roles=['Decoration', 'Marker']]"
100,55,"Group:[types=['Text'], roles=['Title']]"
100,69,"Group:[types=['Text'], roles=['Decoration']]"
100,68,"Group:[types=['Image', 'Text'], roles=['Decoration']]"
100,84,"Group:[types=['Group', 'Text'], roles=['Highlight', 'Subtitle', 'Title']]"
100,42,"Group:[types=['Chart', 'SVG', 'Text'], roles=['Decoration', 'Description']]"
98,39,"Group:[types=['HStack', 'SVG', 'Text'], roles=['Description', 'Separator', 'Title']]"
98,47,"Group:[types=['Group', 'SVG', 'VStack'], roles=['Description', 'Separator', 'Title']]"
97,35,"Group:[types=['SVG'], roles=['Decoration', 'Description']]"
96,60,"Group:[types=['Group', 'Image'], roles=['Decoration', 'Highlight']]"
96,30,"Group:[types=['Image', 'SVG'], roles=['Decoration', 'Marker']]"
96,50,"Group:[types=['Group', 'Text'], roles=['Background', 'Title']]"
95,40,"Group:[types=['Group', 'SVG', 'Text'], roles=['Decoration', 'Description', 'Highlight', 'Title']]"
94,75,"Group:[types=['HStack', 'SVG', 'VStack'], roles=['Background', 'Description', 'Title']]"
94,55,"Group:[types=['Group', 'Text'], roles=['Highlight']]"
93,57,"Group:[types=['SVG', 'Text'], roles=['Background', 'Decoration']]"
93,54,"Group:[types=['Group', 'SVG', 'Text'], roles=['Background', 'Decoration', 'Description', 'Marker', 'Title']]"
92,56,"Group:[types=['Group', 'VStack'], roles=['Description', 'Highlight', 'Title']]"
92,54,"Group:[types=['SVG', 'Text'], roles=['Separator', 'Subtitle', 'Title']]"
92,54,"Group:[types=['SVG', 'Text'], roles=['Background', 'Decoration', 'Subtitle', 'Title']]"
92,20,"Group:[types=['Group'], roles=['Decoration', 'Marker']]"
91,53,"Group:[types=['SVG', 'Text'], roles=['Background', 'Decoration', 'Description', 'Highlight', 'Title']]"
91,45,"Group:[types=['Group', 'Text', 'VStack'], roles=['Description', 'Highlight', 'Title']]"
